id,state,adm1_code,Average Temperature (F),Average Precipitation (in.),Average Tornadoes,Average Clear Days,Average Summer Humidity (%)
1,Alabama,USA-3541,62.8,58.3,47.1,99,72
2,Arizona,USA-3520,60.3,13.6,4.6,193,38
3,Arkansas,USA-3528,60.4,50.6,38.2,123,69
4,California,USA-3521,59.4,22.2,10.6,146,73.5
5,Colorado,USA-3522,45.1,15.9,49.5,136,34
6,Connecticut,USA-3537,49,50.3,1.6,82,69
7,Delaware,USA-3555,55.3,45.7,1,97,70
8,Florida,USA-3542,70.7,54.5,54.6,101,76
9,Georgia,USA-3543,63.5,50.7,29.4,112,72.5
10,Idaho,USA-3518,44.4,18.9,4.8,120,40.5
11,Illinois,USA-3546,51.8,39.2,54,95,69.5
12,Indiana,USA-3547,51.7,41.7,24.6,88,71
13,Iowa,USA-3529,47.8,34,49.2,105,66
14,Kansas,USA-3530,54.3,28.9,92.4,128,62
15,Kentucky,USA-3548,55.6,48.9,24.2,93,69.5
16,Louisiana,USA-3535,66.4,60.1,36.9,101,77
17,Maine,USA-3561,41,42.2,2,101,75.5
18,Maryland,USA-3557,54.2,44.5,9.9,105,68.5
19,Massachusetts,USA-3513,47.9,47.7,1.4,98,70
20,Michigan,USA-3562,44.4,32.8,14.7,71,71
21,Minnesota,USA-3514,41.2,27.3,41.9,95,66
22,Mississippi,USA-3544,63.4,59,45.1,111,74
23,Missouri,USA-3531,54.5,42.2,46.7,115,69
24,Montana,USA-3515,42.7,15.3,9.3,82,50
25,Nebraska,USA-3532,48.8,23.6,54.6,117,66.5
26,Nevada,USA-3523,49.9,9.5,1.9,158,42.5
27,New Hampshire,USA-3538,43.8,43.4,0.6,90,72
28,New Jersey,USA-3558,52.7,47.1,2,94,74
29,New Mexico,USA-3524,53.4,14.6,9.7,167,41
30,New York,USA-3559,45.4,41.8,9.6,63,71.5
31,North Carolina,USA-3549,59,50.3,29.1,109,73.5
32,North Dakota,USA-3516,40.4,17.8,31,93,63
33,Ohio,USA-3550,50.7,39.1,19.2,72,70
34,Oklahoma,USA-3533,59.6,36.5,64.5,139,63.5
35,Oregon,USA-3525,48.4,27.4,2.8,68,64
36,Pennsylvania,USA-3560,48.8,42.9,16,87,68
37,Rhode Island,USA-3539,50.1,47.9,0.2,98,71.5
38,South Carolina,USA-3545,62.4,49.8,23.3,115,72.5
39,South Dakota,USA-3534,45.2,20.1,32.6,104,67
40,Tennessee,USA-3551,57.6,54.2,29.1,102,71.5
41,Texas,USA-3536,64.8,28.9,146.7,135,63
42,Utah,USA-3526,48.6,12.2,2.5,125,39.5
43,Vermont,USA-3540,42.9,42.7,0.8,58,66.5
44,Virginia,USA-3552,55.1,44.3,17.7,100,73.5
45,Washington,USA-3519,48.3,38.4,2.5,58,66.5
46,West Virginia,USA-3554,51.8,45.2,2.4,60,76
47,Wisconsin,USA-3553,43.1,32.6,23.5,89,69.5
48,Wyoming,USA-3527,42,12.9,10.9,114,42
